CAL_D,DAY_TP,PH_F,TERM_F
2026-02-28,Weekend,N,Y
2026-02-27,Weekday,N,Y
2026-02-26,Weekday,N,Y
2026-02-25,Weekday,N,Y
2026-02-24,Weekday,N,Y
2026-02-23,Weekday,N,Y
2026-02-22,Weekend,N,Y
2026-02-21,Weekend,N,Y
2026-02-20,Weekday,N,Y
2026-02-19,Weekday,N,Y
2026-02-18,Weekday,N,Y
2026-02-17,Weekday,N,Y
2026-02-16,Weekday,N,Y
2026-02-15,Weekend,N,Y
2026-02-14,Weekend,N,Y
2026-02-13,Weekday,N,Y
2026-02-12,Weekday,N,Y
2026-02-11,Weekday,N,Y
2026-02-10,Weekday,N,Y
2026-02-09,Weekday,N,Y
2026-02-08,Weekend,N,Y
2026-02-07,Weekend,N,Y
2026-02-06,Weekday,N,Y
2026-02-05,Weekday,N,Y
2026-02-04,Weekday,N,Y
2026-02-03,Weekday,N,Y
2026-02-02,Weekday,N,Y
2026-02-01,Weekend,N,Y
2026-03-01,Weekend,N,Y
2026-03-02,Weekday,N,Y
2026-03-03,Weekday,N,Y
2026-03-04,Weekday,N,Y
2026-03-05,Weekday,N,Y
2026-03-06,Weekday,N,Y
2026-03-07,Weekend,N,Y
2026-03-08,Weekend,N,Y
2026-03-09,Weekday,N,Y
2026-03-10,Weekday,N,Y
2026-03-11,Weekday,N,Y
2026-03-12,Weekday,N,Y
2026-03-13,Weekday,N,Y
2026-03-14,Weekend,N,Y
2026-03-15,Weekend,N,Y
2026-03-16,Weekday,N,Y
2026-03-17,Weekday,N,Y
2026-03-18,Weekday,N,Y
2026-03-19,Weekday,N,Y
2026-03-20,Weekday,N,Y
2026-03-21,Weekend,N,Y
2026-03-22,Weekend,N,Y
2026-03-23,Weekday,N,Y
2026-03-24,Weekday,N,Y
2026-03-25,Weekday,N,Y
2026-03-26,Weekday,N,Y
2026-03-27,Weekday,N,Y
2026-03-28,Weekend,N,Y
2026-03-29,Weekend,N,Y
2026-03-30,Weekday,N,Y
2026-03-31,Weekday,N,Y
2026-04-01,Weekday,N,Y
2026-04-02,Weekday,N,Y
2026-04-03,Weekday,N,Y
2026-04-04,Weekend,N,Y
2026-04-05,Weekend,N,Y
2026-04-06,Weekday,N,Y
2026-04-07,Weekday,N,Y
2026-04-08,Weekday,N,Y
2026-04-09,Weekday,N,Y
2026-04-10,Weekday,N,Y
2026-04-11,Weekend,N,Y
2026-04-12,Weekend,N,Y
2026-04-13,Weekday,N,Y
2026-04-14,Weekday,N,Y
2026-04-15,Weekday,N,Y
2026-04-16,Weekday,N,Y
2026-04-17,Weekday,N,Y
2026-04-18,Weekend,N,Y
2026-04-19,Weekend,N,Y
2026-04-20,Weekday,N,Y
2026-04-21,Weekday,N,Y
2026-04-22,Weekday,N,Y
2026-04-23,Weekday,N,Y
2026-04-24,Weekday,N,Y
2026-04-25,Weekend,N,Y
2026-04-26,Weekend,N,Y
2026-04-27,Weekday,N,Y
2026-04-28,Weekday,N,Y
2026-04-29,Weekday,N,Y
2026-04-30,Weekday,N,Y
