CAL_D,DAY_TP,PH_F,TERM_F
1/3/2026,Weekend,N,Y
2/3/2026,Weekday,N,Y
3/3/2026,Weekday,N,Y
4/3/2026,Weekday,N,Y
5/3/2026,Weekday,N,Y
6/3/2026,Weekday,N,Y
7/3/2026,Weekend,N,Y
8/3/2026,Weekend,N,Y
9/3/2026,Weekday,N,Y
10/3/2026,Weekday,N,Y
11/3/2026,Weekday,N,Y
12/3/2026,Weekday,N,Y
13/3/2026,Weekday,N,Y
14/3/2026,Weekend,N,Y
15/3/2026,Weekend,N,Y
16/3/2026,Weekday,N,Y
17/3/2026,Weekday,N,Y
18/3/2026,Weekday,N,Y
19/3/2026,Weekday,N,Y
20/3/2026,Weekday,N,Y
21/3/2026,Weekend,Y,Y
22/3/2026,Weekend,N,Y
23/3/2026,Weekday,N,Y
24/3/2026,Weekday,N,Y
25/3/2026,Weekday,N,Y
26/3/2026,Weekday,N,Y
27/3/2026,Weekday,N,Y
28/3/2026,Weekend,N,Y
29/3/2026,Weekend,N,Y
30/3/2026,Weekday,N,Y
31/3/2026,Weekday,N,Y
1/4/2026,Weekday,N,Y
2/4/2026,Weekday,Y,Y
3/4/2026,Weekday,Y,Y
4/4/2026,Weekend,N,Y
5/4/2026,Weekend,N,Y
6/4/2026,Weekday,N,Y
7/4/2026,Weekday,N,Y
8/4/2026,Weekday,N,Y
9/4/2026,Weekday,N,Y
10/4/2026,Weekday,N,Y
11/4/2026,Weekend,N,Y
12/4/2026,Weekend,N,Y
13/4/2026,Weekday,N,Y
14/4/2026,Weekday,N,Y
15/4/2026,Weekday,N,Y
16/4/2026,Weekday,N,Y
17/4/2026,Weekday,N,Y
18/4/2026,Weekend,N,Y
19/4/2026,Weekend,N,Y
20/4/2026,Weekday,N,Y
21/4/2026,Weekday,N,Y
22/4/2026,Weekday,N,Y
23/4/2026,Weekday,N,Y
24/4/2026,Weekday,N,Y
25/4/2026,Weekend,N,Y
26/4/2026,Weekend,N,Y
27/4/2026,Weekday,N,Y
28/4/2026,Weekday,N,Y
29/4/2026,Weekday,N,Y
30/4/2026,Weekday,N,Y
