"intervaltime","intervaltime_epoch","building_code","building_type","floor","total_users","density","loadg_dtm"
2020-10-15 00:50:00.000,,CNLIB,Library,"06",1,,2020-10-15 10:03:00.000
2020-10-15 00:50:00.000,,HSSMLIB,Library,"03",1,,2020-10-15 10:03:00.000
2020-10-15 00:50:00.000,,IT_BS,Bus Stop,"01",2,,2020-10-15 10:03:00.000
2020-10-15 00:50:00.000,,KRT_BS,Bus Stop,"01",4,,2020-10-15 10:03:00.000
2020-10-15 00:50:00.000,,MUSLIB,Library,"02",1,,2020-10-15 10:03:00.000
2020-10-15 00:50:00.000,,OHSSL_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 00:50:00.000,,OUHC_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 00:50:00.000,,PGP_BS,Bus Stop,"01",2,,2020-10-15 10:03:00.000
2020-10-15 00:50:00.000,,S10CTN,Canteen,"01",1,,2020-10-15 10:03:00.000
2020-10-15 00:50:00.000,,UHC_BS,Bus Stop,"01",2,,2020-10-15 10:03:00.000
2020-10-15 00:50:00.000,,YIHCTN,Canteen,"02",3,,2020-10-15 10:03:00.000
2020-10-15 00:50:00.000,,YNCLIB,Library,"02",7,,2020-10-15 10:03:00.000
2020-10-15 01:00:00.000,,IT_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:00:00.000,,KRT_BS,Bus Stop,"01",3,,2020-10-15 10:03:00.000
2020-10-15 01:00:00.000,,MUSM_BS,Bus Stop,"01",3,,2020-10-15 10:03:00.000
2020-10-15 01:00:00.000,,OHSSL_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:00:00.000,,OUHC_BS,Bus Stop,"01",3,,2020-10-15 10:03:00.000
2020-10-15 01:00:00.000,,PGP_BS,Bus Stop,"01",2,,2020-10-15 10:03:00.000
2020-10-15 01:00:00.000,,S10CTN,Canteen,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:00:00.000,,SCILIB,Library,"04",1,,2020-10-15 10:03:00.000
2020-10-15 01:00:00.000,,UHC_BS,Bus Stop,"01",3,,2020-10-15 10:03:00.000
2020-10-15 01:00:00.000,,YIHCTN,Canteen,"02",1,,2020-10-15 10:03:00.000
2020-10-15 01:00:00.000,,YIH_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:00:00.000,,YNCLIB,Library,"02",7,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,BIZ2_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,HSSMLIB,Library,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,IT_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,MUSM_BS,Bus Stop,"01",2,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,OUHALL_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,OUHC_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,OYIH_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,PGPCTN,Canteen,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,PGP_BS,Bus Stop,"01",3,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,RH_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,S10CTN,Canteen,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,UT_BS,Bus Stop,"01",2,,2020-10-15 10:03:00.000
2020-10-15 01:10:00.000,,YNCLIB,Library,"02",6,,2020-10-15 10:03:00.000
2020-10-15 01:20:00.000,,KRT_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:20:00.000,,LT27_BS,Bus Stop,"01",2,,2020-10-15 10:03:00.000
2020-10-15 01:20:00.000,,MUSM_BS,Bus Stop,"01",3,,2020-10-15 10:03:00.000
2020-10-15 01:20:00.000,,OUHALL_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:20:00.000,,OUHC_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:20:00.000,,PGPCTN,Canteen,"01",2,,2020-10-15 10:03:00.000
2020-10-15 01:20:00.000,,PGP_BS,Bus Stop,"01",2,,2020-10-15 10:03:00.000
2020-10-15 01:20:00.000,,RH_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:20:00.000,,S10CTN,Canteen,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:20:00.000,,S17_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
2020-10-15 01:20:00.000,,UHALL_BS,Bus Stop,"01",2,,2020-10-15 10:03:00.000
2020-10-15 01:20:00.000,,UHC_BS,Bus Stop,"01",1,,2020-10-15 10:03:00.000
